recordid,company,occurence,award_year,award_amount
171185,Space Computer Corporation,4,1993,55000
171186,Space Computer Corporation,4,1993,51629
171187,Space Computer Corporation,4,1993,77000
171188,Space Computer Corporation,4,1993,567530
171224,Spire Corporation,7,1993,499462
171248,Spire Corporation,7,1993,499886
171191,Space Power Inc.,5,1993,54249
171192,Space Power Inc.,5,1993,500000
171193,"Spaceborne, Inc.",2,1993,49756
171194,"Spauschus Associates, Inc.",2,1993,729500
171195,Specialized Care Company,1,1993,50000
171196,"Specialty Laboratories, Inc.",1,1993,257213
171197,Spectel Company,2,1993,49162
171198,"Spectra Research, Inc.",6,1993,49529
171199,"Spectra Research, Inc.",6,1993,48964
171200,"Spectra Research, Inc.",6,1993,49939
171201,"Spectra Research, Inc.",6,1993,48900
171203,Spectra-metrics Corp,1,1993,55195
171204,Spectra-metrics Corp,1,1993,53418
171207,"Spectral Sciences, Inc.",5,1993,49993
171209,Spectranetics,2,1993,49950
171210,Spectrum Scientific,1,1993,50000
171211,"Spectrum Systems, Inc.",1,1993,49269
171213,Spire Corporation,7,1993,74695
171214,Spire Corporation,7,1993,698098
171216,Spire Corporation,7,1993,49621
171217,Spire Corporation,7,1993,50000
171219,Spire Corporation,7,1993,50000
171220,Spire Corporation,7,1993,73665
171221,Spire Corporation,7,1993,69320
171249,"Sra Technologies, Inc.",1,1993,42729
171223,Spire Corporation,7,1993,74929
171226,Spire Corporation,7,1993,74511
171227,Spire Corporation,7,1993,49967
171229,Spire Corporation,7,1993,478000
171231,Spire Corporation,7,1993,76643
171234,Spire Corporation,7,1993,248933
171235,Spire Corporation,7,1993,49515
171236,Spire Corporation,7,1993,67820
171447,"Technical research Associates, Inc.",6,1993,50000
171237,Spire Corporation,7,1993,499938
171244,Spire Corporation,7,1993,499000
171238,Spire Corporation,7,1993,69664
171240,Spire Corporation,7,1993,57119
171241,Spire Corporation,7,1993,74788
171243,Spire Corporation,7,1993,49940
171245,Spire Corporation,7,1993,300000
171246,Spire Corporation,7,1993,76193
171247,Spire Corporation,7,1993,49940
171250,"Sra Technologies, Inc.",1,1993,48317
171253,Standard Scientifics Inc.,2,1993,412220
171254,Stanley Associates,1,1993,49891
171268,"Stottler Henke Associates, Inc.",5,1993,48934
171255,Stannous Technologies Corp,1,1993,57900
171367,TECHNOLOGY INTERNATIONAL INCORPORATED OF VIRGINIA,5,1993,49939
171256,Starmet Corporation,5,1993,99513
171257,Starmet Corporation,5,1993,68684
171258,"Statistical Innovations, Inc.",1,1993,49740
171261,Steris Corp,1,1993,483420
171270,"Strainoptic Technologies, Inc.",4,1993,54030
171262,"Steritech, Inc.",1,1993,50000
171265,Steven M. Pincus,1,1993,471986
185033,Cape Cod Research,7,1988,65227
171269,"Stottler Henke Associates, Inc.",5,1993,690617
171273,"Stratton Park Engineering Co., Inc.",2,1993,589766
171276,Straw-bale Construction,1,1993,230000
171279,"Stress Eng Services, Inc",1,1993,500000
171282,Structural Integrity Associate,4,1993,49380
171284,Sts Duotex Inc.,1,1993,500000
171286,"Summation, Ltd.",1,1993,48956
171287,Summit Device Technology,1,1993,54896
171293,"Supercon, Inc.",3,1993,499848
171288,Sunol Sciences Corp,5,1993,49966
171289,"Sunpower, Inc.",4,1993,49926
171290,"Sunpower, Inc.",4,1993,667414
171292,"Supercon, Inc.",3,1993,49990
172042,"Alabama Cryogenic Engineering, Inc.",6,1992,59025
171294,"Supercon, Inc.",3,1993,74984
171295,"Superconductivity, Inc.",2,1993,377074
171296,"Superconix, Inc.",2,1993,50907
171298,Suprex Corp.,1,1993,50000
171299,Surface Engineering Assoc Inc.,1,1993,50000
171300,"Surface Solutions, Inc.",1,1993,69900
171301,Surgical Engineering Associate,1,1993,49665
171304,Sybtrel Biotechnology,1,1993,50000
171305,Symetrix Corporation,3,1993,247107
171312,"Synchrocell, Inc./dovetail",1,1993,50000
171306,"Synapse Technology, Inc.",1,1993,49315
171308,Synaptic Pharmaceutical Corp.,1,1993,50000
171309,Synaptic Pharmaceutical Corp.,1,1993,50000
171311,"Synchrocell, Inc./dovetail",1,1993,50000
172000,Advanced Technologies/Laboratories Intl,6,1992,50000
171313,Syndicates Inc.,1,1993,226900
171314,"Synergy Innovations, Inc.",1,1993,50000
171320,Systems & Processes Engineering Corporation,8,1993,569791
171339,"Systems Technology, Inc.",6,1993,49964
171321,Systems & Processes Engineering Corporation,8,1993,499647
171323,Systems & Processes Engineering Corporation,8,1993,415711
171325,"Systems Control Technology,",6,1993,507710
171999,Advanced Technologies/Laboratories Intl,6,1992,48400
171326,"Systems Control Technology,",6,1993,39942
171327,"Systems Control Technology,",6,1993,276467
171329,"Systems Control Technology,",6,1993,48791
171330,"Systems Control Technology,",6,1993,512115
171391,TOYON RESEARCH CORPORATION,7,1993,50000
171331,"Systems Control Technology,",6,1993,49269
171332,"Systems Engineering Group,",2,1993,49689
171334,"Systems Technology, Inc.",6,1993,53945
171335,"Systems Technology, Inc.",6,1993,49988
171336,"Systems Technology, Inc.",6,1993,72221
171340,"Systems Technology, Inc.",6,1993,49979
171342,"TAITECH, INC.",3,1993,78958
171343,"TDA Research, Inc.",6,1993,50000
171344,"TDA Research, Inc.",6,1993,50000
171346,"TDA Research, Inc.",6,1993,61019
171347,"TDA Research, Inc.",6,1993,50000
171348,"TDA Research, Inc.",6,1993,749996
171349,"TDA Research, Inc.",6,1993,786835
171351,"TDA Research, Inc.",6,1993,50000
171352,"TDA Research, Inc.",6,1993,49707
171353,"TDA Research, Inc.",6,1993,150000
171355,"TDA Research, Inc.",6,1993,75000
171356,"TDA Research, Inc.",6,1993,61462
171357,"TDA Research, Inc.",6,1993,500000
171365,TECHNOLOGY INTERNATIONAL INCORPORATED OF VIRGINIA,5,1993,49967
171358,"TDA Research, Inc.",6,1993,150000
171360,"TECHLAB, INC.",1,1993,36915
171361,"TECHNICAL SOLUTIONS, INC.",3,1993,56875
171363,"TECHNICAL SOLUTIONS, INC.",3,1993,49854
171371,"TELIOS PHARMACEUTICALS, INC.",1,1993,499070
171372,TETRAD CORPORATION,3,1993,500000
171377,"THERMACORE, INC.",6,1993,499794
171378,"THERMACORE, INC.",6,1993,499794
171381,"THERMACORE, INC.",6,1993,74973
171382,"THERMACORE, INC.",6,1993,74987
171383,"THERMACORE, INC.",6,1993,55002
171384,"THERMACORE, INC.",6,1993,73736
171385,"THERMACORE, INC.",6,1993,74983
171386,"THERMACORE, INC.",6,1993,74996
171393,TOYON RESEARCH CORPORATION,7,1993,50000
171396,TOYON RESEARCH CORPORATION,7,1993,499999
171397,"TPL, Inc.",8,1993,71802
171398,"TPL, Inc.",8,1993,52588
194497,Koford Engineering,2,1984,39000
171531,Triangle Research and Development Corporation,5,1993,50000
171399,"TPL, Inc.",8,1993,544413
171400,"TPL, Inc.",8,1993,50000
171401,"TPL, Inc.",8,1993,54661
171402,"TPL, Inc.",8,1993,55667
171403,"TPL, Inc.",8,1993,60165
171404,"TPL, Inc.",8,1993,57808
171405,"TPL, Inc.",8,1993,54357
171406,"TPL, Inc.",8,1993,66160
171407,"TPL, Inc.",8,1993,490212
171410,"TPL, Inc.",8,1993,496256
171412,"TPL, Inc.",8,1993,50000
171413,"TPL, Inc.",8,1993,568486
171414,"TPL, Inc.",8,1993,50000
171415,"TPL, Inc.",8,1993,751582
171416,"TPL, Inc.",8,1993,57999
171417,"TSRL, INC.",2,1993,484173
171420,Tacan Corp,9,1993,300000
171421,Tacan Corp,9,1993,500000
171422,Tacan Corp,9,1993,255736
183587,Pda Engineering,7,1989,296214
171423,Tacan Corp,9,1993,667760
171425,Tacan Corp,9,1993,499955
171428,Tallian Consulting Corp.s,1,1993,24000
171429,"Tanner Research, Inc.",6,1993,249946
175893,"Cmtg Research, Inc.",2,1991,70248
171467,Technology Research Associates,1,1993,63600
171430,"Tanner Research, Inc.",6,1993,50100
171431,"Tanner Research, Inc.",6,1993,249936
171435,"Tanner Research, Inc.",6,1993,49663
180315,MISSION RESEARCH CORP.,9,1990,695000
171437,Tau Corp,5,1993,72916
171438,Taylor Devices Inc.,3,1993,47072
171439,"Te Technology, Inc.",2,1993,49647
171440,Tea Systems Corp.,1,1993,50000
171441,TecSec Incorporated,2,1993,594765
171442,Technetics Corp,1,1993,590959
171451,"Technical research Associates, Inc.",6,1993,635792
171443,Technical Evaluation,1,1993,435755
171445,"Technical research Associates, Inc.",6,1993,533603
171446,"Technical research Associates, Inc.",6,1993,50000
171449,"Technical research Associates, Inc.",6,1993,50000
171454,"Techniweave, Inc.",3,1993,51891
171456,"Techno-Sciences, LLC",6,1993,49506
171457,"Techno-Sciences, LLC",6,1993,746006
171458,"Techno-Sciences, LLC",6,1993,58884
171485,Terra Tek Inc.,5,1993,224503
171459,"TechnoConcepts, Inc.",2,1993,499732
171462,"Technology Assessment and Transfer, Inc.",5,1993,742251
171463,"Technology Assessment and Transfer, Inc.",5,1993,49175
171465,"Technology Assessment and Transfer, Inc.",5,1993,383660
171466,Technology Modeling Associates,1,1993,249492
171481,Tensor Technology Inc.,1,1993,73751
171469,Technology Service Corporation,5,1993,61824
171473,Technology Systems Inc.,4,1993,407084
171474,Technology Systems Inc.,4,1993,504001
171478,"Tecmag, Inc.",1,1993,500000
171482,"Tera Research, Inc",3,1993,396607
171484,"TeraMetrix, LLC",4,1993,74400
180371,"Maxdem, Inc.",6,1990,500000
171486,Tetra Corporation,7,1993,488345
171487,Tetra Corporation,7,1993,499427
171490,Tetra Corporation,7,1993,49859
171491,"Texas Research Institute, Austin, Inc.",7,1993,438046
171492,"Texas Research Institute, Austin, Inc.",7,1993,470543
171493,"Texas Research Institute, Austin, Inc.",7,1993,57800
171495,"Tfr Technologies, Inc.",3,1993,51774
171496,"Tg&c Assoc., Inc.",1,1993,54632
171497,"The Athena Group, Inc.",5,1993,49997
171500,The Conference Center Inc.,1,1993,39994
171850,"APPLIED MATHEMATICS, INC.",2,1992,50000
171502,"The Federated Software Group,",1,1993,48880
171504,The Lektrox Company,1,1993,499525
171505,"The Navtrol Company, Inc.",2,1993,495500
171506,The Reynolds Group (trg),1,1993,34221
171576,Uida Consulting Group;,1,1993,100000
171507,"Thin Film Concepts, Inc.",2,1993,406261
194499,"L'GARDE, INC.",3,1984,488847
194501,"L.VAD TECHNOLOGY, INC.",1,1984,50000
171514,Tigek Inc.,1,1993,33360
171515,"Timeplus, Inc.",1,1993,49705
171516,"Timeplus, Inc.",1,1993,49745
171517,Tindev Inc.,1,1993,87959
171534,Trinity,1,1993,34350
171520,Tini Alloy Company,5,1993,245421
171524,"Top-Vu Technology, Inc.",3,1993,50000
171526,Transducer Research Inc.,3,1993,49996
171528,"Trauma Products, Inc.",1,1993,49861
171535,Triplex Pharmaceutical,1,1993,50000
171536,Triplex Pharmaceutical,1,1993,40000
171537,Triplex Pharmaceutical,1,1993,50000
171538,Trisoft Cybersearch,1,1993,47650
171541,"Triton Systems, Inc.",7,1993,48852
171543,"Triton Systems, Inc.",7,1993,74813
171544,"Triton Systems, Inc.",7,1993,49290
171547,Tropix Inc.,1,1993,500000
171550,Trymer Company,5,1993,74845
171551,"Tsi Research, Inc.",1,1993,500000
171552,"Tsi Research, Inc.",1,1993,500000
171556,UBC INC,4,1993,499980
171558,UES INC,6,1993,75292
171559,UES INC,6,1993,74863
171561,UES INC,6,1993,64938
171583,Ultramet,7,1993,49453
171563,UES INC,6,1993,79394
172039,Agilis Corp.,1,1992,499953
171564,UES INC,6,1993,249986
171573,UTILITY DEVELOPMENT CORP,5,1993,42593
171575,Udt Sensors Inc.,1,1993,66836
194500,"L'GARDE, INC.",3,1984,66000
180387,Medical Laser Research & Devel,3,1990,69985
171577,Ultramet,7,1993,54821
171578,Ultramet,7,1993,50000
171579,Ultramet,7,1993,50000
171580,Ultramet,7,1993,52562
172066,American Research Corporation of Virginia,9,1992,50000
171584,Ultramet,7,1993,50000
171585,Ultramet,7,1993,50000
171592,Ultramet,7,1993,73766
171593,Unicorn Engineering Inc.,1,1993,271512
171594,Unified Analysis,1,1993,49300
171595,Uniprime Corp.,1,1993,49434
171596,Unison Consulting Group Inc.,1,1993,74852
171600,"United Signals & Systems,",1,1993,48507
171601,United Solar Technologies,1,1993,74822
171602,United States Control,1,1993,542015
171604,Universal Fuel Development,1,1993,50000
171607,"Unixpros, Inc.",3,1993,645543
171609,Urinette Inc.,1,1993,36307
171610,VERSATRON CORP.,1,1993,499777
171611,VERSATRON CORP.,1,1993,268307
171613,"VESTA SCIENCES, INC.",2,1993,49943
171662,"WESTERN RESEARCH COMPANY, INC.",1,1993,500000
171627,"VISIDYNE, INC.",7,1993,549041
171615,"VIASAT, INC.",5,1993,49993
171616,"VIASAT, INC.",5,1993,552587
171617,"VIASAT, INC.",5,1993,486325
171618,"VIASAT, INC.",5,1993,49708
171621,"VIGYAN, INC.",5,1993,60099
171624,"VISIDYNE, INC.",7,1993,482942
171625,"VISIDYNE, INC.",7,1993,50936
171626,"VISIDYNE, INC.",7,1993,47451
176163,ENSCO Inc,6,1991,248436
171659,W W Gaertner Research Inc.,3,1993,72974
171628,VIVASCAN CORPORATION,1,1993,47268
171630,Vatell Corporation,3,1993,600000
171631,Vatell Corporation,3,1993,34977
171632,Vector Microwave Research,1,1993,43829
171633,"Veritay Technology, Inc.",5,1993,49999
171635,Vertex Pharmaceuticals Inc.,1,1993,300000
171636,Very Special Arts,1,1993,40000
171638,"Vestar, Inc.",2,1993,50000
171649,Viscoustech Inc,1,1993,492100
171639,Vhdl Technology Group,1,1993,48996
171640,Virafree Corp.,1,1993,496419
171641,Viro Dynamics,1,1993,49881
171643,Virtek,1,1993,75000
171644,Virtual Corp.,1,1993,49000
171645,"Virtual Worlds, Inc.",1,1993,500000
171646,Virus Research Institute,1,1993,50000
171647,Virus Research Institute,1,1993,49955
171648,Viscotek Corp.,1,1993,49480
171651,"Visual Resources, Inc.",1,1993,500000
171660,"WESTERN RESEARCH COMPANY, INC.",1,1993,50000
171652,"Visx, Inc.",1,1993,500000
171653,Vme Technologies Inc.,1,1993,50000
171654,Vme Technologies Inc.,1,1993,38913
171655,Voitek,1,1993,50000
175234,"APTEK, Inc.",6,1991,49000
171663,"WESTERN RESEARCH COMPANY, INC.",1,1993,500000
171664,"WESTERN RESEARCH COMPANY, INC.",1,1993,50000
171690,Waterjet Technology Inc,6,1993,67048
171665,"WESTERN RESEARCH COMPANY, INC.",1,1993,500000
171666,"WESTERN RESEARCH COMPANY, INC.",1,1993,50000
171667,"WESTERN RESEARCH COMPANY, INC.",1,1993,50000
171669,"WHALEN BIOMEDICAL, INC",2,1993,47129
171670,"WHALEN BIOMEDICAL, INC",2,1993,500000
171671,"WHALEN BIOMEDICAL, INC",2,1993,498750
171672,"WHITE POINT SYSTEMS, INC.",1,1993,50000
171686,"Water & Air Research, Inc.",1,1993,49757
171673,"WIZDOM SYSTEMS, INC.",5,1993,497132
171674,"WIZDOM SYSTEMS, INC.",5,1993,493471
171677,Wadi Inc.,1,1993,35000
171678,Walker Technology,1,1993,50000
171679,Walter R Mcdonald &,1,1993,98732
171687,Waterjet Technology Inc,6,1993,68952
171689,Waterjet Technology Inc,6,1993,61548
171691,Waterjet Technology Inc,6,1993,648499
175562,Axonix Inc,1,1991,50000
171694,Waterjet Technology Inc,6,1993,48336
171695,Waterjet Technology Inc,6,1993,741093
171696,Waterjet Technology Inc,6,1993,61474
171697,Waterjet Technology Inc,6,1993,67000
171698,Waterjet Technology Inc,6,1993,49995
171699,Waterjet Technology Inc,6,1993,49397
171702,Weinschel Associates,1,1993,49990
171737,"ZYMEQUEST, INC.",1,1993,49680
171703,Weisenthal Cancer Group,1,1993,50000
171704,"West Coast Reps, Inc.",1,1993,49500
175571,"BELTRAN, INC.",5,1991,50000
171706,William V. Stoecker And,1,1993,49981
171708,Winchester Digital Systems,1,1993,500000
171711,"Wolpert Polymers, Inc.",1,1993,50000
171712,Worksite Wellness Programs Inc,1,1993,500000
171719,"XONTECH, INC.",4,1993,553245
171713,"X-RAY OPTICAL SYSTEMS, INC.",3,1993,474458
171714,"X-RAY OPTICAL SYSTEMS, INC.",3,1993,50000
171715,"X-RAY OPTICAL SYSTEMS, INC.",3,1993,50000
171717,XIA LLC,1,1993,500000
171772,ADVANCED MODULAR POWER SYSTEMS,3,1992,122062
171720,Xacton Corp,4,1993,65296
171721,"Xemet, Inc.",4,1993,813089
171724,Xre Corp.,1,1993,49500
171725,Xre Corp.,1,1993,550000
171726,"Xsirius Superconductivity,",1,1993,298000
171727,"Xxsys Technologies, Inc.",2,1993,150000
171739,Zwillinger & Associates,2,1993,75000
171728,Xybion Corp.,5,1993,496650
171729,"Yankee Environmental Systems, Inc.",2,1993,49449
171730,"Yankee Environmental Systems, Inc.",2,1993,215000
171732,"Yardney Technical Products, Inc.",6,1993,440824
171735,"ZEGER-ABRAMS, INC.",5,1993,640231
171741,A & D Assoc.,2,1992,43976
171756,ACT Research Corporation,4,1992,48273
171742,A-TECH CORPORATION,4,1992,49270
171743,A-TECH CORPORATION,4,1992,280764
181560,"UQM Technologies, Inc.",4,1990,49985
171745,"ABIOMED, INC.",2,1992,481018
171746,"ABIOMED, INC.",2,1992,465794
171762,"ADCOM SYSTEMS TECHNOLOGY,INC.",3,1992,57301
171747,"ABIOMED, INC.",2,1992,500000
171748,"ABIOMED, INC.",2,1992,496466
171750,ABTECH CORPORATION,5,1992,489589
171752,"ACADEMIC SOFTWARE, INC.",1,1992,29895
171757,"ADA TECHNOLOGIES, INC.",4,1992,50000
171758,"ADA TECHNOLOGIES, INC.",4,1992,49888
185276,"Duncan Technologies, Inc.",3,1988,64441
171759,"ADA TECHNOLOGIES, INC.",4,1992,50000
171760,"ADAPTIVE METHODS, INC.",1,1992,397294
171761,"ADCOM SYSTEMS TECHNOLOGY,INC.",3,1992,53368
171763,ADELPHI TECHNOLOGY INC,4,1992,495321
171769,"ADVANCED DEVICE TECHNOLOGY, INC.",2,1992,481772
171770,"ADVANCED MAGNETICS, INC.",1,1992,50000
171771,"ADVANCED MAGNETICS, INC.",1,1992,49997
172104,Apeiron,1,1992,43540
171774,"ADVANCED ROTORCRAFT TECHNOLOGY, INC.",4,1992,499571
172936,"FLIGHT TECHNOLOGY INTERNATIONAL, INC.",2,1992,464253
171775,"ADVANCED ROTORCRAFT TECHNOLOGY, INC.",4,1992,499111
171776,"ADVANCED STRUCTURAL TECHNOLOGY, INC.",1,1992,49980
171780,AEROSOL DYNAMICS INC,1,1992,50000
171782,AEROTECH ENGINEERING & RESEARCH CORP.,5,1992,50000
171784,"AIMS, INC.",4,1992,50000
171785,"AIMS, INC.",4,1992,49955
171786,ALBUQUERQUE AVIAN EXOTIC,1,1992,44000
171822,"AMHERST SYSTEMS, INC.",6,1992,435788
171790,"ALDERON BIOSCIENCES, INC.",3,1992,563392
171791,"ALKERMES, INC.",1,1992,49595
171792,"ALKERMES, INC.",1,1992,422381
171796,"ALPHATECH, INC.",6,1992,50000
171823,AMRON CORPORATION,2,1992,497668
171878,"ASTROPOWER, INC.",5,1992,50000
171797,"ALPHATECH, INC.",6,1992,312000
171798,"ALPHATECH, INC.",6,1992,48015
171799,"ALPHATECH, INC.",6,1992,50931
171803,"ALPHATECH, INC.",6,1992,494496
171804,"ALTERNATIVE SYSTEM CONCEPTS, INC.",4,1992,54300
171805,"ALTERNATIVE SYSTEM CONCEPTS, INC.",4,1992,424000
171807,"AMBION DIAGNOSTICS, INC.",1,1992,49987
171808,"AMBULATORY MONITORING, INC.",2,1992,366794
171809,AMERICAN GNC CORPORATION,6,1992,50000
171810,AMERICAN GNC CORPORATION,6,1992,50000
171811,AMERICAN GNC CORPORATION,6,1992,50000
171812,AMERICAN GNC CORPORATION,6,1992,50000
171813,AMERICAN GNC CORPORATION,6,1992,500261
171814,AMERICAN LABORATORY SUPPLIES,1,1992,49875
171816,"AMERINEX APPLIED IMAGING, INC.",4,1992,49930
171819,"AMHERST SYSTEMS, INC.",6,1992,2364504
171820,"AMHERST SYSTEMS, INC.",6,1992,52276
171825,"ANALYSIS & SIMULATION, INC.",3,1992,49984
171826,"ANALYSIS & SIMULATION, INC.",3,1992,49961
171827,"ANALYSIS & SIMULATION, INC.",3,1992,29847
171828,ANALYSIS AND MEASUREMENT SERVICES CORPORATION,2,1992,247320
171829,ANALYTIC POWER LLC,5,1992,510064
171857,"APTEK, Inc.",6,1992,495000
171830,ANALYTIC POWER LLC,5,1992,50000
171831,ANALYTIC POWER LLC,5,1992,49817
171833,"ANALYTICA OF BRANFORD, INC.",1,1992,50000
171835,"ANALYTICA OF BRANFORD, INC.",1,1992,500000
171881,"ASTROPOWER, INC.",5,1992,50000
171837,ANALYTICAL SERVICES & MATERIALS INC,4,1992,47927
171838,"ANATRACE, INC.",1,1992,500000
171840,"ANATRACE, INC.",1,1992,431183
171841,"ANTICANCER, INC.",1,1992,49750
171842,"ANTICANCER, INC.",1,1992,50000
171851,APPLIED MODERN TECHNOLOGIES,1,1992,489397
171852,APPLIED ORDNANCE TECHNOLOGY,3,1992,50000
171853,"APPLIED PULSED POWER, INC.",3,1992,248083
171855,"APPLIED TECHNOLOGY ASSOC., INC.",4,1992,47856
171858,"ARCTECH, INCORPORATED",1,1992,58350
171860,ASCENSION TECHNOLOGY CORPORATION,2,1992,49872
171861,"AST PRODUCTS, INC.",3,1992,50000
171862,"AST PRODUCTS, INC.",3,1992,50000
171863,"AST PRODUCTS, INC.",3,1992,50000
171865,"AST PRODUCTS, INC.",3,1992,50000
171866,"AST PRODUCTS, INC.",3,1992,50000
171867,"ASTRALUX, INC.",5,1992,50000
171872,"ASTRON WIRELESS TECHNOLIGIES, INC.",5,1992,496768
171874,"ASTROPOWER, INC.",5,1992,50000
171876,"ASTROPOWER, INC.",5,1992,50000
171883,ATLANTIC AEROSPACE ELECTRONICS CORP.,7,1992,59294
171884,ATLANTIC AEROSPACE ELECTRONICS CORP.,7,1992,293172
171887,"ATMOSPHERIC & ENVIRONMENTAL RESEARCH, INC.",5,1992,295300
171889,"ATMOSPHERIC & ENVIRONMENTAL RESEARCH, INC.",5,1992,258287
171890,"ATMOSPHERIC & ENVIRONMENTAL RESEARCH, INC.",5,1992,49977
171891,"ATOM SCIENCES, INC.",3,1992,297888
171893,"ATS-MER, LLC",7,1992,50000
171894,"ATS-MER, LLC",7,1992,49537
171896,"ATS-MER, LLC",7,1992,49751
171897,"ATS-MER, LLC",7,1992,50000
171899,"ATS-MER, LLC",7,1992,497095
171902,"ATS-MER, LLC",7,1992,50000
171903,"ATS-MER, LLC",7,1992,499999
171904,"ATS-MER, LLC",7,1992,50000
171905,"ATS-MER, LLC",7,1992,50000
171906,"ATS-MER, LLC",7,1992,499266
171907,"ATS-MER, LLC",7,1992,50000
171909,AURORA ASSOC.,4,1992,300000
171911,AURORA FLIGHT SCIENCES CORPORATION,4,1992,250000
171912,"AURORA OPTICS, INC.",2,1992,342877
171913,"AURORA OPTICS, INC.",2,1992,498655
171915,"Access Dynamics, Inc.",1,1992,49882
171917,"Accsys Technology, Inc.",3,1992,500000
171919,"Accu-sort Systems, Inc.",1,1992,45181
171921,"Acrion Technologies, Inc.",1,1992,500000
171922,Active Technologies Inc.,1,1992,245985
171938,Advanced Detectors Inc,2,1992,493688
171924,Adaptive Sensors Inc.,3,1992,347470
171931,"Adroit Systems, Inc.",6,1992,49821
171925,Adaptive Sensors Inc.,3,1992,153898
171926,Adaptive Sensors Inc.,3,1992,49992
171927,"Adaptive Software, Inc.",1,1992,49475
171929,Adeza Biomedical Corpon,2,1992,25750
171930,"Adroit Systems, Inc.",6,1992,297088
171936,Advanced Communication,2,1992,479519
171937,Advanced Creative Educational,1,1992,49105
184396,VEXCEL CORP.,6,1989,49998
171939,"Advanced Energy Technology,",3,1992,50000
171940,"Advanced Fuel Research, Inc.",7,1992,476758
185871,Kappler Safety Gp,1,1988,49803
171941,"Advanced Fuel Research, Inc.",7,1992,66096
171943,"Advanced Fuel Research, Inc.",7,1992,500000
171944,"Advanced Fuel Research, Inc.",7,1992,57924
171945,"Advanced Fuel Research, Inc.",7,1992,49876
171979,"Advanced Scientific Concepts, LLC",7,1992,49985
171947,"Advanced Fuel Research, Inc.",7,1992,55110
171948,"Advanced Fuel Research, Inc.",7,1992,246988
171951,"Advanced Fuel Research, Inc.",7,1992,500000
171953,"Advanced Fuel Research, Inc.",7,1992,49516
171954,"Advanced Fuel Research, Inc.",7,1992,50000
171955,"Advanced Fuel Research, Inc.",7,1992,50000
171956,"Advanced Fuel Research, Inc.",7,1992,47547
171957,"Advanced Fuel Research, Inc.",7,1992,50000
171958,"Advanced Fuel Research, Inc.",7,1992,50000
171959,"Advanced Fuel Research, Inc.",7,1992,247838
171960,"Advanced Fuel Research, Inc.",7,1992,59435
171961,"Advanced Fuel Research, Inc.",7,1992,248879
171962,"Advanced Marine Enterprises,",2,1992,46872
171967,Advanced Motion Controls Inc.,1,1992,490518
171969,Advanced Photonix,2,1992,50000
171971,"Advanced Projects Research, Incorporated",6,1992,61194
171975,"Advanced Scientific Concepts, LLC",7,1992,49975
173216,"IAP RESEARCH, INC.",6,1992,500000
171980,"Advanced Scientific Concepts, LLC",7,1992,530150
171981,Advanced Systems & Technologies Inc,6,1992,484959
171983,Advanced Systems Concepts,2,1992,499949
171985,Advanced Technologies,1,1992,49998
171986,Advanced Technologies,1,1992,49892
171987,Advanced Technologies/Laboratories Intl,6,1992,49321
171988,Advanced Technologies/Laboratories Intl,6,1992,499756
171989,Advanced Technologies/Laboratories Intl,6,1992,50000
171990,Advanced Technologies/Laboratories Intl,6,1992,50000
171991,Advanced Technologies/Laboratories Intl,6,1992,49610
173214,"IAP RESEARCH, INC.",6,1992,54901
173492,Kopin Corporation,6,1992,49902
171993,Advanced Technologies/Laboratories Intl,6,1992,50000
171994,Advanced Technologies/Laboratories Intl,6,1992,305000
171995,Advanced Technologies/Laboratories Intl,6,1992,500000
171996,Advanced Technologies/Laboratories Intl,6,1992,499970
171997,Advanced Technologies/Laboratories Intl,6,1992,500000
172003,Advanced Technologies/Laboratories Intl,6,1992,50000
172004,Advanced Technologies/Laboratories Intl,6,1992,49640
172005,Advanced Technologies/Laboratories Intl,6,1992,50000
172006,Advanced Technologies/Laboratories Intl,6,1992,50000
172007,Advanced Technologies/Laboratories Intl,6,1992,50000
172009,Advanced Technologies/Laboratories Intl,6,1992,34991
172010,Advanced Technologies/Laboratories Intl,6,1992,500000
172011,"Advanced Welding Concepts,",1,1992,494464
172013,"Aegis Technologies Group, LLC, The",4,1992,50668
172022,"Aerodyne Research, Inc.",7,1992,482598
172014,Aero Composites,1,1992,49771
172015,"Aerodyne Research, Inc.",7,1992,49989
172016,"Aerodyne Research, Inc.",7,1992,358345
172019,"Aerodyne Research, Inc.",7,1992,500000
172021,"Aerodyne Research, Inc.",7,1992,50000
172025,"Aerodyne Research, Inc.",7,1992,50000
172026,"Aerodyne Research, Inc.",7,1992,59214
172029,Aerometrics Inc.,4,1992,49834
172030,Aerometrics Inc.,4,1992,233132
172031,Aerometrics Inc.,4,1992,125000
172033,"Aerospace Design & Development, Inc.",3,1992,49565
172034,"Aerospacecomputing, Inc.",2,1992,49882
172035,"Aetech, Inc.",2,1992,49266
172036,Aev Inc.,1,1992,433157
172040,Aguirre International,1,1992,30000
172045,Albion Instruments,1,1992,498751
172046,Alden Electronics Inc,2,1992,34371
172139,Aquamar Production Resch Corp,1,1992,50000
172047,Alder Research Center,1,1992,474278
172048,"Alem Associates, Inc.",1,1992,50000
172050,Alpha Environmental Laboratory,1,1992,49885
172051,Altex Technologies Corporation,2,1992,50000
172052,Altex Technologies Corporation,2,1992,50000
172053,Amalgamated Technologies Inc.,2,1992,46388
172062,"American Magnetics, Inc.",2,1992,50000
172055,Ambico Inc,1,1992,49164
